Character Name,Movie Title,Role,Viewer Sentiment,Screen Time (Minutes),Scene Appearances
DynamicCharacter_461,Star Wars,Mentor,18,119,17
DynamicCharacter_462,Moana,Mentor,53,42,12
DynamicCharacter_463,Beauty and the Beast,Protagonist,65,20,27
DynamicCharacter_464,Beauty and the Beast,Mentor,53,36,13
DynamicCharacter_465,Beauty and the Beast,Supporting,32,63,26
DynamicCharacter_466,Star Wars,Supporting,68,65,5
DynamicCharacter_467,Moana,Supporting,84,18,10
DynamicCharacter_468,The Lion King,Protagonist,39,61,6
DynamicCharacter_469,The Lion King,Protagonist,52,48,12
DynamicCharacter_470,Star Wars,Protagonist,16,67,24
DynamicCharacter_471,The Lion King,Supporting,53,42,10
DynamicCharacter_472,The Lion King,Comic Relief,94,106,27
DynamicCharacter_473,The Lion King,Protagonist,1,94,27
DynamicCharacter_474,The Lion King,Antagonist,84,55,26
DynamicCharacter_475,Beauty and the Beast,Mentor,6,62,15
DynamicCharacter_476,Star Wars,Protagonist,43,11,8
